LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
451.855944375,2.599778222394e-07,9.749843939083e-08
467.735141287,2.599850834517e-07,9.749898484404e-08
484.172367584,2.599901342652e-07,9.749935079923e-08
500,2.599933916654e-07,9.749957865321e-08
501.187233627,2.599935880148e-07,9.749959212552e-08
518.800038929,2.599959079962e-07,9.749974843174e-08
537.03179637,2.599974377302e-07,9.749984779325e-08
555.90425727,2.599984270691e-07,9.749990973622e-08
575.439937337,2.599990541411e-07,9.749994757570e-08
595.662143529,2.599994433331e-07,9.749997020702e-08
616.595001861,2.599996796526e-07,9.749998344750e-08
638.263486191,2.599998199092e-07,9.749999101802e-08
660.693448008,2.599999011955e-07,9.749999524434e-08
683.911647281,2.599999471520e-07,9.749999754566e-08
707.945784384,2.599999724716e-07,9.749999876667e-08
732.824533139,2.599999860509e-07,9.749999939722e-08
758.577575029,2.599999931322e-07,9.749999971380e-08
785.23563461,2.599999967186e-07,9.749999986815e-08
812.830516164,2.599999984804e-07,9.749999994114e-08
